        ,fit
1,0.018326182
2,0.066592307
3,0.101913891
4,0.117716779
5,0.118385594
6,0.109634706
7,0.096123217
8,0.081054851
9,0.066383129
10,0.053148956
11,0.041789499
12,0.032375057
13,0.024774231
14,0.018761276
15,0.014081398
16,0.010487428
17,0.007758059
18,0.005704855
19,0.004172845
20,0.003037799
21,0.002202072
22,0.001590108
23,0.001144187
24,0.000820683
25,0.000586919
26,0.000418608
27,0.00029782
28,0.000211396
29,0.00014973
30,0.000105841
31,7.47E-05
32,5.26E-05
33,3.7E-05
34,2.6E-05
35,1.82E-05
36,1.27E-05
37,8.91E-06
38,6.22E-06
39,4.34E-06
40,3.03E-06
41,2.11E-06
42,1.46E-06
43,1.02E-06
44,7.06E-07
45,4.9E-07
46,3.4E-07
47,2.35E-07
48,1.63E-07
49,1.12E-07
50,7.77E-08
51,5.37E-08
52,3.7E-08
53,2.55E-08
54,1.76E-08
55,1.21E-08
56,8.35E-09
57,5.74E-09
58,3.95E-09
59,2.72E-09
60,1.87E-09
61,1.28E-09
62,8.8E-10
63,6.04E-10
64,4.14E-10
65,2.84E-10
66,1.95E-10
67,1.33E-10
68,9.13E-11
69,6.25E-11
70,4.28E-11
71,2.93E-11
72,2E-11
73,1.37E-11
74,9.35E-12
75,6.39E-12
76,4.36E-12
77,2.98E-12
78,2.03E-12
79,1.39E-12
80,9.47E-13
81,6.46E-13
82,4.41E-13
83,3E-13
84,2.05E-13
85,1.4E-13
86,9.51E-14
87,6.47E-14
88,4.42E-14
89,3.01E-14
90,2.04E-14
91,1.39E-14
92,9.55E-15
93,6.44E-15
94,4.33E-15
95,3E-15
96,2E-15
97,1.44E-15
98,8.88E-16
99,6.66E-16
100,4.44E-16
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
