,mean
mu[1],3.74252513603334
mu[2],3.32517308368854
mu[3],3.37666246892319
mu[4],3.05045204664774
mu[5],2.99094873114277
mu[6],3.28643869181837
mu[7],3.60706877176376
mu[8],3.56449998844643
mu[9],3.09489449772076
mu[10],3.32661546832714
mu[11],3.37864850465847
mu[12],3.32481543672484
mu[13],3.76607293335868
mu[14],3.51205543949064
mu[15],2.92734731708751
mu[16],2.68133852718257
mu[17],2.69622092247971
mu[18],3.76788564360637
mu[19],3.84122109055655
mu[20],3.63024317837468
mu[21],3.50811349490987
mu[22],3.26330653087895
mu[23],3.1379985367342
mu[24],3.21578825872415
mu[25],3.11357745708492
mu[26],3.23273947551328
mu[27],3.22172438230336
mu[28],3.7019435167484
mu[29],2.50166621267744
mu[30],2.43764194730364
mu[31],2.65218259472315
mu[32],2.78175244217431
mu[33],2.89682405279686
mu[34],2.90117609103067
mu[35],3.32980480579471
mu[36],3.42787092804612
mu[37],3.57003182582994
mu[38],3.58074518657281
mu[39],3.41680289834485
mu[40],3.38460801482276
mu[41],3.21894252778121
mu[42],3.22965513634919
mu[43],3.27176868541407
mu[44],3.64493769823134
mu[45],3.30871271259843
mu[46],3.54563385677533
mu[47],3.56448810297306
mu[48],2.8640277908828
mu[49],3.00651068448995
mu[50],2.8598232369279
mu[51],3.36569623644638
mu[52],2.75284564422377
mu[53],3.38284559453028
mu[54],3.8669424710426
mu[55],3.99803801113077
mu[56],3.72973905647668
mu[57],3.8058455080002
mu[58],3.48882934274673
mu[59],3.16658738069078
mu[60],3.14274688281694
mu[61],4.53063595702073
mu[62],3.07802571164973
mu[63],2.43461418528812
